GENE	EVENT	LENGTH	Huvec1_1	Huvec1_1-Q	Huvec2_1	Huvec2_1-Q	HepG2_1_1	HepG2_1_1-Q	HepG2_2_1	HepG2_2_1-Q
ITGA3	HsaALTA0004383-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
ITGA3	HsaALTA0004383-2/2	62	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
ZFX	HsaALTA0009691-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail
ZFX	HsaALTA0009691-2/2	24	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail
C19orf60	HsaALTA0001139-1/3	0	31.57	Pass	33.50	Pass	0.00	Fail	7.49	Fail
C19orf60	HsaALTA0001139-2/3	66	68.43	Pass	66.50	Pass	100.00	Fail	92.51	Fail
C19orf60	HsaALTA0001139-3/3	284	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
C19orf60	HsaALTA0001140-1/2	0	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail
C19orf60	HsaALTA0001140-2/2	3	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail
TMEM98	HsaALTA0008823-1/2	0	0.61	Pass	0.33	Pass	0.00	Pass	0.00	Pass
TMEM98	HsaALTA0008823-2/2	8	99.39	Pass	99.67	Pass	100.00	Pass	100.00	Pass
ABCC8	HsaALTA0000050-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABCC8	HsaALTA0000050-2/2	30	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABCC8	HsaALTA0000051-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABCC8	HsaALTA0000051-2/2	3	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SYNRG	HsaALTA0008410-1/2	0	32.73	Pass	48.84	Pass	27.59	Pass	33.70	Pass
SYNRG	HsaALTA0008410-2/2	138	67.27	Pass	51.16	Pass	72.41	Pass	66.30	Pass
TMEM132A	HsaALTA0008738-1/2	0	54.62	Pass	43.22	Pass	43.04	Pass	59.77	Pass
TMEM132A	HsaALTA0008738-2/2	3	45.38	Pass	56.78	Pass	56.96	Pass	40.23	Pass
AP2B1	HsaALTA0000525-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
AP2B1	HsaALTA0000525-2/2	7	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
SPATA20	HsaALTA0008154-1/2	0	9.59	Pass	17.31	Pass	68.18	Fail	72.22	Fail
SPATA20	HsaALTA0008154-2/2	55	90.41	Pass	82.69	Pass	31.82	Fail	27.78	Fail
CACNA1G	HsaALTA0001406-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTA0001406-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTA0001407-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTA0001407-2/2	102	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTA0001408-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTA0001408-2/2	49	NA	Fail	NA	Fail	NA	Fail	NA	Fail
RALA	HsaALTA0006971-1/2	0	64.96	Fail	75.00	Fail	NA	Fail	NA	Fail
RALA	HsaALTA0006971-2/2	35	35.04	Fail	25.00	Fail	NA	Fail	NA	Fail
BAIAP2L1	HsaALTA0000879-1/2	0	0.00	Fail	0.00	Fail	2.17	Pass	5.53	Pass
BAIAP2L1	HsaALTA0000879-2/2	11	100.00	Fail	100.00	Fail	97.83	Pass	94.47	Pass
ETV1	HsaALTA0003013-1/2	0	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
ETV1	HsaALTA0003013-2/2	5	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
AGK	HsaALTA0000281-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail
AGK	HsaALTA0000281-2/2	9	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail
PHTF2	HsaALTA0006267-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PHTF2	HsaALTA0006267-2/2	42	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FARP2	HsaALTA0003233-1/2	0	NA	Fail	NA	Fail	50.72	Fail	NA	Fail
FARP2	HsaALTA0003233-2/2	4	NA	Fail	NA	Fail	49.28	Fail	NA	Fail
FARP2	HsaALTA0003234-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
FARP2	HsaALTA0003234-2/2	9	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
FARP2	HsaALTA0003235-1/2	0	100.00	Fail	78.90	Fail	96.40	Pass	67.33	Fail
FARP2	HsaALTA0003235-2/2	214	0.00	Fail	21.10	Fail	3.60	Pass	32.67	Fail
IFRD1	HsaALTA0004195-1/2	0	0.00	Pass	0.00	Pass	0.52	Pass	0.00	Pass
IFRD1	HsaALTA0004195-2/2	13	100.00	Pass	100.00	Pass	99.48	Pass	100.00	Pass
GTF2IRD1	HsaALTA0003845-1/2	0	24.39	Pass	37.50	Pass	24.04	Pass	32.89	Pass
GTF2IRD1	HsaALTA0003845-2/2	45	75.61	Pass	62.50	Pass	75.96	Pass	67.11	Pass
GTF2IRD1	HsaALTA0003846-1/2	0	97.20	Pass	100.00	Pass	100.00	Pass	95.31	Pass
GTF2IRD1	HsaALTA0003846-2/2	96	2.80	Pass	0.00	Pass	0.00	Pass	4.69	Pass
PAF1	HsaALTA0006034-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
PAF1	HsaALTA0006034-2/2	184	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
ELAC2	HsaALTA0002862-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ELAC2	HsaALTA0002862-2/2	75	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ARSD	HsaALTA0000696-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ARSD	HsaALTA0000696-2/2	352	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ARSD	HsaALTA0000697-1/2	0	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail
ARSD	HsaALTA0000697-2/2	6	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail
PRSS21	HsaALTA0006730-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PRSS21	HsaALTA0006730-2/2	6	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CEACAM21	HsaALTA0001754-1/2	0	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
CEACAM21	HsaALTA0001754-2/2	14	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
CEACAM21	HsaALTA0001755-1/2	0	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
CEACAM21	HsaALTA0001755-2/2	3	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
CEACAM21	HsaALTA0001756-1/2	0	63.64	Fail	NA	Fail	100.00	Fail	NA	Fail
CEACAM21	HsaALTA0001756-2/2	3	36.36	Fail	NA	Fail	0.00	Fail	NA	Fail
CEACAM21	HsaALTA0001757-1/2	0	0.00	Fail	16.67	Fail	NA	Fail	100.00	Fail
CEACAM21	HsaALTA0001757-2/2	83	100.00	Fail	83.33	Fail	NA	Fail	0.00	Fail
PAFAH1B1	HsaALTA0006035-1/2	0	0.00	Fail	0.00	Fail	11.11	Fail	14.29	Fail
PAFAH1B1	HsaALTA0006035-2/2	3	100.00	Fail	100.00	Fail	88.89	Fail	85.71	Fail
KIAA0100	HsaALTA0004499-1/3	0	0.11	Pass	0.00	Pass	0.00	Pass	0.00	Pass
KIAA0100	HsaALTA0004499-2/3	8	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
KIAA0100	HsaALTA0004499-3/3	81	99.89	Pass	100.00	Pass	100.00	Pass	100.00	Pass
KIAA0100	HsaALTA0004500-1/2	0	0.22	Pass	0.00	Pass	2.42	Pass	0.44	Pass
KIAA0100	HsaALTA0004500-2/2	58	99.78	Pass	100.00	Pass	97.58	Pass	99.56	Pass
KIAA0100	HsaALTA0004501-1/2	0	8.97	Pass	6.34	Pass	5.92	Pass	9.85	Pass
KIAA0100	HsaALTA0004501-2/2	3	91.03	Pass	93.66	Pass	94.08	Pass	90.15	Pass
KIAA0100	HsaALTA0004502-1/2	0	0.74	Pass	0.00	Pass	0.00	Pass	0.48	Pass
KIAA0100	HsaALTA0004502-2/2	3	99.26	Pass	100.00	Pass	100.00	Pass	99.52	Pass
KIAA0100	HsaALTA0004503-1/4	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
KIAA0100	HsaALTA0004503-2/4	3	0.00	Pass	0.78	Pass	0.00	Pass	0.00	Pass
KIAA0100	HsaALTA0004503-3/4	54	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
KIAA0100	HsaALTA0004503-4/4	56	100.00	Pass	99.22	Pass	100.00	Pass	100.00	Pass
MATK	HsaALTA0005030-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MATK	HsaALTA0005030-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CD79B	HsaALTA0001675-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CD79B	HsaALTA0001675-2/2	3	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ST7L	HsaALTA0008260-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
ST7L	HsaALTA0008260-2/2	51	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
RPUSD1	HsaALTA0007403-1/2	0	9.48	Fail	14.27	Pass	0.00	Fail	0.00	Fail
RPUSD1	HsaALTA0007403-2/2	99	90.52	Fail	85.73	Pass	100.00	Fail	100.00	Fail
RHBDF1	HsaALTA0007155-1/3	0	0.10	Pass	0.00	Pass	0.00	Fail	0.00	Fail
RHBDF1	HsaALTA0007155-2/3	45	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
