GENE	EVENT	LENGTH	SF3B1_mutated_sample_1_1	SF3B1_mutated_sample_1_1-Q	SF3B1_mutated_sample_2_1	SF3B1_mutated_sample_2_1-Q	SF3B1_mutated_sample_3_1	SF3B1_mutated_sample_3_1-Q	SF3B1_mutated_sample_4_1	SF3B1_mutated_sample_4_1-Q	SF3B1_mutated_sample_5_1	SF3B1_mutated_sample_5_1-Q	SF3B1_mutated_sample_6_1	SF3B1_mutated_sample_6_1-Q	SF3B1_mutated_sample_7_1	SF3B1_mutated_sample_7_1-Q	SF3B1_mutated_sample_8_1	SF3B1_mutated_sample_8_1-Q	SF3B1_wildtype_sample_1_1	SF3B1_wildtype_sample_1_1-Q	SF3B1_wildtype_sample_2_1	SF3B1_wildtype_sample_2_1-Q	SF3B1_wildtype_sample_3_1	SF3B1_wildtype_sample_3_1-Q	SF3B1_wildtype_sample_4_1	SF3B1_wildtype_sample_4_1-Q
SGSM2	HsaALTD0005861-2/2	48	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SGSM2	HsaALTD0005862-1/2	0	0.00	Pass	0.91	Pass	0.00	Pass	0.00	Pass	9.72	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	5.00	Pass	6.90	Pass
SGSM2	HsaALTD0005862-2/2	32	100.00	Pass	99.09	Pass	100.00	Pass	100.00	Pass	90.28	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	95.00	Pass	93.10	Pass
NPEPPS	HsaALTD0004362-1/3	0	100.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	100.00	Fail	57.14	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
NPEPPS	HsaALTD0004362-2/3	18	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
NPEPPS	HsaALTD0004362-3/3	50	0.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	0.00	Fail	42.86	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
SSH2	HsaALTD0006219-1/2	0	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	0.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
SSH2	HsaALTD0006219-2/2	32	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	100.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
CCDC45	HsaALTD0001206-1/2	0	100.00	Fail	83.76	Pass	73.77	Pass	87.90	Pass	100.00	Pass	77.26	Pass	78.95	Pass	82.42	Pass	75.76	Fail	78.95	Pass	82.93	Pass	76.27	Pass
CCDC45	HsaALTD0001206-2/2	4	0.00	Fail	16.24	Pass	26.23	Pass	12.10	Pass	0.00	Pass	22.74	Pass	21.05	Pass	17.58	Pass	24.24	Fail	21.05	Pass	17.07	Pass	23.73	Pass
BCAS3	HsaALTD0000676-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
BCAS3	HsaALTD0000676-2/2	59	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLMO1	HsaALTD0006061-1/2	0	27.78	Pass	32.69	Pass	25.40	Pass	25.00	Pass	20.00	Pass	0.00	Fail	20.83	Fail	5.77	Pass	0.00	Fail	14.55	Pass	15.19	Pass	11.90	Pass
SLMO1	HsaALTD0006061-2/2	3	72.22	Pass	67.31	Pass	74.60	Pass	75.00	Pass	80.00	Pass	100.00	Fail	79.17	Fail	94.23	Pass	100.00	Fail	85.45	Pass	84.81	Pass	88.10	Pass
C18orf21	HsaALTD0000863-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	1.46	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
C18orf21	HsaALTD0000863-2/2	132	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	98.54	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
OSBPL1A	HsaALTD0004504-1/4	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	27.27	Fail	0.00	Pass	23.68	Pass	9.09	Pass
OSBPL1A	HsaALTD0004504-2/4	4	2.22	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
OSBPL1A	HsaALTD0004504-3/4	99	90.56	Pass	90.70	Pass	100.00	Pass	100.00	Pass	98.28	Pass	95.35	Pass	88.24	Fail	100.00	Pass	72.73	Fail	100.00	Pass	68.42	Pass	45.45	Pass
OSBPL1A	HsaALTD0004504-4/4	181	7.22	Pass	9.30	Pass	0.00	Pass	0.00	Pass	1.72	Pass	4.65	Pass	11.76	Fail	0.00	Pass	0.00	Fail	0.00	Pass	7.89	Pass	45.45	Pass
NPC1	HsaALTD0004360-1/2	0	0.00	Pass	38.89	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail
NPC1	HsaALTD0004360-2/2	63	100.00	Pass	61.11	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail
ARRB2	HsaALTD0000489-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ARRB2	HsaALTD0000489-2/2	26	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ARRB2	HsaALTD0000490-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	99.12	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ARRB2	HsaALTD0000490-2/2	63	0.00	Pass	0.00	Pass	0.00	Pass	0.88	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
MINK1	HsaALTD0003919-1/2	0	25.64	Pass	16.00	Pass	22.22	Pass	2.33	Pass	0.00	Pass	9.38	Pass	11.11	Pass	3.33	Pass	0.00	Fail	0.00	Pass	0.00	Pass	7.14	Pass
MINK1	HsaALTD0003919-2/2	9	74.36	Pass	84.00	Pass	77.78	Pass	97.67	Pass	100.00	Pass	90.63	Pass	88.89	Pass	96.67	Pass	100.00	Fail	100.00	Pass	100.00	Pass	92.86	Pass
MINK1	HsaALTD0003920-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	2.49	Pass	0.00	Pass	0.00	Pass	2.26	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
MINK1	HsaALTD0003920-2/2	4	100.00	Pass	100.00	Pass	100.00	Pass	97.51	Pass	100.00	Pass	100.00	Pass	97.74	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
MINK1	HsaALTD0003921-1/2	0	0.00	Pass	1.30	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
MINK1	HsaALTD0003921-2/2	59	100.00	Pass	98.70	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
MINK1	HsaALTD0003922-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	4.86	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	5.93	Pass
MINK1	HsaALTD0003922-2/2	17	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	95.14	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	94.07	Pass
SAT2	HsaALTD0005669-1/2	0	58.33	Pass	29.47	Pass	13.25	Pass	30.95	Pass	22.22	Pass	48.94	Pass	37.31	Pass	57.58	Pass	35.71	Fail	35.56	Pass	25.93	Pass	28.77	Pass
SAT2	HsaALTD0005669-2/2	17	41.67	Pass	70.53	Pass	86.75	Pass	69.05	Pass	77.78	Pass	51.06	Pass	62.69	Pass	42.42	Pass	64.29	Fail	64.44	Pass	74.07	Pass	71.23	Pass
TMC6	HsaALTD0006571-1/2	0	30.54	Pass	27.90	Pass	54.40	Pass	32.65	Pass	37.18	Pass	32.86	Pass	40.70	Pass	42.17	Pass	20.96	Pass	22.64	Pass	31.49	Pass	25.09	Pass
TMC6	HsaALTD0006571-2/2	47	69.46	Pass	72.10	Pass	45.60	Pass	67.35	Pass	62.82	Pass	67.14	Pass	59.30	Pass	57.83	Pass	79.04	Pass	77.36	Pass	68.51	Pass	74.91	Pass
SLC16A3	HsaALTD0005948-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
SLC16A3	HsaALTD0005948-2/2	28	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
CSNK1D	HsaALTD0001701-1/2	0	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail
CSNK1D	HsaALTD0001701-2/2	4	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail
ANAPC11	HsaALTD0000296-1/3	0	33.14	Pass	36.65	Pass	45.80	Pass	36.70	Pass	32.41	Pass	44.72	Pass	42.20	Pass	39.03	Pass	42.42	Pass	32.53	Pass	27.63	Pass	41.26	Pass
ANAPC11	HsaALTD0000296-2/3	8	46.08	Pass	42.78	Pass	43.63	Pass	50.17	Pass	54.41	Pass	39.20	Pass	48.97	Pass	45.35	Pass	49.83	Pass	58.63	Pass	56.16	Pass	42.23	Pass
ANAPC11	HsaALTD0000296-3/3	30	20.78	Pass	20.57	Pass	10.57	Pass	13.13	Pass	13.18	Pass	16.08	Pass	8.83	Pass	15.61	Pass	7.74	Pass	8.84	Pass	16.22	Pass	16.50	Pass
ANAPC11	HsaALTD0000297-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ANAPC11	HsaALTD0000297-2/2	5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
TBCD	HsaALTD0006398-1/2	0	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
TBCD	HsaALTD0006398-2/2	22	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
TBCD	HsaALTD0006399-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	2.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
TBCD	HsaALTD0006399-2/2	1	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	98.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
TBCD	HsaALTD0006400-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TBCD	HsaALTD0006400-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NARF	HsaALTD0004173-1/2	0	0.00	Pass	0.97	Pass	0.00	Pass	0.00	Pass	0.00	Pass	1.32	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
NARF	HsaALTD0004173-2/2	20	100.00	Pass	99.03	Pass	100.00	Pass	100.00	Pass	100.00	Pass	98.68	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
AZI1	HsaALTD0000629-1/2	0	72.23	Pass	65.15	Pass	77.42	Pass	51.72	Pass	68.18	Pass	89.47	Pass	71.43	Fail	59.09	Fail	54.46	Pass	93.75	Fail	58.82	Fail	100.00	Fail
AZI1	HsaALTD0000629-2/2	9	27.77	Pass	34.85	Pass	22.58	Pass	48.28	Pass	31.82	Pass	10.53	Pass	28.57	Fail	40.91	Fail	45.54	Pass	6.25	Fail	41.18	Fail	0.00	Fail
AZI1	HsaALTD0000630-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
AZI1	HsaALTD0000630-2/2	13	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
AZI1	HsaALTD0000631-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail
AZI1	HsaALTD0000631-2/2	41	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail
WDR45L	HsaALTD0007191-1/2	0	NA	Fail	100.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	66.67	Fail	0.00	Fail	0.00	Fail	0.00	Fail	83.33	Fail
WDR45L	HsaALTD0007191-2/2	5	NA	Fail	0.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	33.33	Fail	100.00	Fail	100.00	Fail	100.00	Fail	16.67	Fail
DYM	HsaALTD0002077-1/2	0	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
DYM	HsaALTD0002077-2/2	25	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
FBXO15	HsaALTD0002507-1/2	0	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail
FBXO15	HsaALTD0002507-2/2	129	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail
LEPREL4	HsaALTD0003579-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
LEPREL4	HsaALTD0003579-2/2	2	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
NT5C3L	HsaALTD0004410-1/2	0	100.00	Fail	100.00	Fail	69.84	Fail	0.00	Fail	100.00	Fail	100.00	Fail	25.55	Fail	50.72	Fail	100.00	Fail	75.54	Fail	100.00	Fail	75.54	Fail
NT5C3L	HsaALTD0004410-2/2	103	0.00	Fail	0.00	Fail	30.16	Fail	100.00	Fail	0.00	Fail	0.00	Fail	74.45	Fail	49.28	Fail	0.00	Fail	24.46	Fail	0.00	Fail	24.46	Fail
FAM134C	HsaALTD0002386-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FAM134C	HsaALTD0002386-2/2	6	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PIP5K2B	HsaALTD0004783-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	2.27	Pass	0.00	Pass
PIP5K2B	HsaALTD0004783-2/2	13	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	97.73	Pass	100.00	Pass
ERBB2	HsaALTD0002276-1/3	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
ERBB2	HsaALTD0002276-2/3	6	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
ERBB2	HsaALTD0002276-3/3	42	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
FKBP10	HsaALTD0002570-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FKBP10	HsaALTD0002570-2/2	6	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FKBP10	HsaALTD0002571-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	9.43	Pass	0.00	Fail	0.00	Fail
FKBP10	HsaALTD0002571-2/2	110	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	90.57	Pass	100.00	Fail	100.00	Fail
CACNA1A	HsaALTD0001106-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1A	HsaALTD0001106-2/2	1	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
BRD4	HsaALTD0000742-1/2	0	14.45	Pass	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	12.19	Fail	0.00	Fail	0.00	Fail	NA	Fail	6.49	Fail	0.00	Fail	39.31	Fail
BRD4	HsaALTD0000742-2/2	4	85.55	Pass	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	87.81	Fail	100.00	Fail	100.00	Fail	NA	Fail	93.51	Fail	100.00	Fail	60.69	Fail
PPAP2C	HsaALTD0004964-1/2	0	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PPAP2C	HsaALTD0004964-2/2	41	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PFKL	HsaALTD0004687-1/3	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
PFKL	HsaALTD0004687-2/3	12	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
PFKL	HsaALTD0004687-3/3	17	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
PFKL	HsaALTD0004688-1/3	0	0.00	Pass	0.24	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.88	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
PFKL	HsaALTD0004688-2/3	26	0.40	Pass	0.54	Pass	0.00	Pass	1.82	Pass	1.11	Pass	1.64	Pass	0.00	Pass	1.44	Pass	0.00	Pass	1.46	Pass	1.29	Pass	0.76	Pass
PFKL	HsaALTD0004688-3/3	30	99.60	Pass	99.22	Pass	100.00	Pass	98.18	Pass	98.89	Pass	97.47	Pass	100.00	Pass	98.56	Pass	100.00	Pass	98.54	Pass	98.71	Pass	99.24	Pass
PFKL	HsaALTD0004689-1/3	0	1.57	Pass	1.34	Pass	0.00	Pass	0.94	Pass	1.46	Pass	2.14	Pass	0.00	Pass	1.11	Pass	0.00	Pass	2.75	Pass	0.00	Pass	0.56	Pass
PFKL	HsaALTD0004689-2/3	24	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
PFKL	HsaALTD0004689-3/3	35	98.43	Pass	98.66	Pass	100.00	Pass	99.06	Pass	98.54	Pass	97.86	Pass	100.00	Pass	98.89	Pass	100.00	Pass	97.25	Pass	100.00	Pass	99.44	Pass
DUS3L	HsaALTD0002061-1/2	0	0.00	Pass	2.18	Pass	0.00	Pass	6.15	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	14.08	Pass	0.00	Pass	0.00	Pass	0.00	Pass
DUS3L	HsaALTD0002061-2/2	35	100.00	Pass	97.82	Pass	100.00	Pass	93.85	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	85.92	Pass	100.00	Pass	100.00	Pass	100.00	Pass
DUS3L	HsaALTD0002062-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	1.44	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
DUS3L	HsaALTD0002062-2/2	213	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	98.56	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SIRT3	HsaALTD0005919-1/2	0	55.17	Pass	34.52	Pass	52.17	Fail	36.36	Pass	20.00	Fail	53.85	Pass	25.00	Fail	47.62	Fail	0.00	Fail	43.48	Fail	80.00	Fail	19.05	Fail
SIRT3	HsaALTD0005919-2/2	146	44.83	Pass	65.48	Pass	47.83	Fail	63.64	Pass	80.00	Fail	46.15	Pass	75.00	Fail	52.38	Fail	100.00	Fail	56.52	Fail	20.00	Fail	80.95	Fail
ATHL1	HsaALTD0000555-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
ATHL1	HsaALTD0000555-2/2	11	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
ATHL1	HsaALTD0000556-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	11.11	Fail
ATHL1	HsaALTD0000556-2/2	14	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	88.89	Fail
COL6A1	HsaALTD0001569-1/2	0	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
COL6A1	HsaALTD0001569-2/2	83	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
COL6A1	HsaALTD0001570-1/2	0	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail
COL6A1	HsaALTD0001570-2/2	25	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail
IFNAR1	HsaALTD0003188-1/2	0	NA	Fail	0.00	Fail	NA	Fail	20.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail
IFNAR1	HsaALTD0003188-2/2	52	NA	Fail	100.00	Fail	NA	Fail	80.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail
SOD1	HsaALTD0006133-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
SOD1	HsaALTD0006133-2/2	57	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SCYL1	HsaALTD0005708-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	2.67	Pass	0.00	Pass	0.00	Pass	0.00	Pass	1.39	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
