GENE	EVENT	LENGTH	SF3B1_mutated_sample_1_1	SF3B1_mutated_sample_1_1-Q	SF3B1_mutated_sample_2_1	SF3B1_mutated_sample_2_1-Q	SF3B1_mutated_sample_3_1	SF3B1_mutated_sample_3_1-Q	SF3B1_mutated_sample_4_1	SF3B1_mutated_sample_4_1-Q	SF3B1_mutated_sample_5_1	SF3B1_mutated_sample_5_1-Q	SF3B1_mutated_sample_6_1	SF3B1_mutated_sample_6_1-Q	SF3B1_mutated_sample_7_1	SF3B1_mutated_sample_7_1-Q	SF3B1_mutated_sample_8_1	SF3B1_mutated_sample_8_1-Q	SF3B1_wildtype_sample_1_1	SF3B1_wildtype_sample_1_1-Q	SF3B1_wildtype_sample_2_1	SF3B1_wildtype_sample_2_1-Q	SF3B1_wildtype_sample_3_1	SF3B1_wildtype_sample_3_1-Q	SF3B1_wildtype_sample_4_1	SF3B1_wildtype_sample_4_1-Q
KDM1A	HsaALTD0003406-1/2	0	0.00	Pass	0.15	Pass	0.53	Pass	0.00	Pass	0.34	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
KDM1A	HsaALTD0003406-2/2	11	100.00	Pass	99.85	Pass	99.47	Pass	100.00	Pass	99.66	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
CAMKK1	HsaALTD0001133-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CAMKK1	HsaALTD0001133-2/2	44	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
RECQL	HsaALTD0005353-1/2	0	0.00	Fail	100.00	Fail	100.00	Fail	87.50	Fail	0.00	Fail	60.00	Fail	0.00	Fail	40.00	Fail	NA	Fail	25.00	Fail	42.42	Pass	12.50	Fail
RECQL	HsaALTD0005353-2/2	50	100.00	Fail	0.00	Fail	0.00	Fail	12.50	Fail	100.00	Fail	40.00	Fail	100.00	Fail	60.00	Fail	NA	Fail	75.00	Fail	57.58	Pass	87.50	Fail
RECQL	HsaALTD0005354-1/2	0	0.00	Pass	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	NA	Fail	0.00	Pass	0.00	Pass	0.00	Fail
RECQL	HsaALTD0005354-2/2	1	100.00	Pass	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	NA	Fail	100.00	Pass	100.00	Pass	100.00	Fail
CCDC132	HsaALTD0001193-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	96.67	Pass	100.00	Fail	100.00	Fail	NA	Fail	100.00	Pass	100.00	Fail	100.00	Fail
CCDC132	HsaALTD0001193-2/2	16	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	3.33	Pass	0.00	Fail	0.00	Fail	NA	Fail	0.00	Pass	0.00	Fail	0.00	Fail
SLC22A16	HsaALTD0005960-1/2	0	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail
SLC22A16	HsaALTD0005960-2/2	58	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail
ZMYND10	HsaALTD0007366-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ZMYND10	HsaALTD0007366-2/2	47	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CDC27	HsaALTD0001296-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
CDC27	HsaALTD0001296-2/2	47	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
SLC4A1	HsaALTD0006030-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC4A1	HsaALTD0006030-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HCCS	HsaALTD0002973-1/3	0	0.00	Pass	1.32	Pass	0.00	Pass	1.56	Pass	3.51	Pass	0.00	Pass	5.26	Pass	5.13	Pass	0.00	Pass	0.00	Fail	11.11	Pass	4.17	Pass
HCCS	HsaALTD0002973-2/3	37	0.00	Pass	2.65	Pass	41.93	Pass	7.81	Pass	8.77	Pass	2.22	Pass	0.00	Pass	0.00	Pass	4.76	Pass	0.00	Fail	11.11	Pass	6.25	Pass
HCCS	HsaALTD0002973-3/3	95	100.00	Pass	96.03	Pass	58.07	Pass	90.63	Pass	87.72	Pass	97.78	Pass	94.74	Pass	94.87	Pass	95.24	Pass	100.00	Fail	77.78	Pass	89.58	Pass
DVL2	HsaALTD0002074-1/2	0	20.54	Pass	28.21	Pass	34.00	Pass	38.81	Pass	25.03	Pass	33.33	Pass	48.48	Pass	56.06	Pass	46.34	Pass	40.54	Pass	72.00	Pass	27.50	Pass
DVL2	HsaALTD0002074-2/2	12	79.46	Pass	71.79	Pass	66.00	Pass	61.19	Pass	74.97	Pass	66.67	Pass	51.52	Pass	43.94	Pass	53.66	Pass	59.46	Pass	28.00	Pass	72.50	Pass
DVL2	HsaALTD0002075-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
DVL2	HsaALTD0002075-2/2	53	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
UPF1	HsaALTD0007048-1/2	0	91.67	Pass	92.72	Pass	42.86	Pass	74.44	Pass	74.68	Pass	73.91	Pass	76.36	Pass	80.21	Pass	84.81	Pass	67.31	Pass	82.35	Pass	81.40	Pass
UPF1	HsaALTD0007048-2/2	33	8.33	Pass	7.28	Pass	57.14	Pass	25.56	Pass	25.32	Pass	26.09	Pass	23.64	Pass	19.79	Pass	15.19	Pass	32.69	Pass	17.65	Pass	18.60	Pass
ACSM3	HsaALTD0000124-1/2	0	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
ACSM3	HsaALTD0000124-2/2	25	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
AC004410.1	HsaALTD0000057-1/3	0	0.00	Pass	0.77	Pass	1.61	Pass	0.00	Pass	0.00	Pass	0.46	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
AC004410.1	HsaALTD0000057-2/3	21	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
AC004410.1	HsaALTD0000057-3/3	52	100.00	Pass	99.23	Pass	98.39	Pass	100.00	Pass	100.00	Pass	99.54	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
KIAA1539	HsaALTD0003465-1/2	0	12.50	Pass	9.09	Pass	2.04	Pass	47.06	Fail	0.00	Fail	11.11	Pass	30.43	Fail	7.14	Fail	NA	Fail	0.00	Fail	0.00	Fail	18.18	Pass
KIAA1539	HsaALTD0003465-2/2	134	87.50	Pass	90.91	Pass	97.96	Pass	52.94	Fail	100.00	Fail	88.89	Pass	69.57	Fail	92.86	Fail	NA	Fail	100.00	Fail	100.00	Fail	81.82	Pass
COPZ2	HsaALTD0001599-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	5.59	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail
COPZ2	HsaALTD0001599-2/2	12	100.00	Fail	100.00	Fail	100.00	Fail	94.41	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail
COPZ2	HsaALTD0001600-1/2	0	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail
COPZ2	HsaALTD0001600-2/2	4	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail
MSL3	HsaALTD0004054-1/2	0	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MSL3	HsaALTD0004054-2/2	85	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
C2orf3	HsaALTD0000968-1/2	0	100.00	Fail	100.00	Pass	100.00	Pass	92.86	Fail	100.00	Pass	100.00	Pass	100.00	Fail	94.44	Fail	NA	Fail	88.46	Pass	100.00	Pass	100.00	Fail
C2orf3	HsaALTD0000968-2/2	147	0.00	Fail	0.00	Pass	0.00	Pass	7.14	Fail	0.00	Pass	0.00	Pass	0.00	Fail	5.56	Fail	NA	Fail	11.54	Pass	0.00	Pass	0.00	Fail
